"","Study ID","CalfID","TRT","FOO","Egroup","AgeatEnroll","BWKg","Btime","Bdate","Edate","Etime","TP","HbpremgdL","HbpostmgdL","change","Date_PNEU1","Remark_PNEU1","Date_PNEU2","Remark_PNEU2","Date_PNEU3","Remark_PNEU3","Date_SCOURS1","Remark_SCOURS1","Date_SCOURS2","Remark_SCOURS2","Date_BLOAT1","Remark_BLOAT1","Date_BLOAT2","Remark_BLOAT2","Date_DIED1","Remark_DIED1","BIRTH","ENROLL","dfeP1","dbtwP12","dbtwP23","dfeP2","dfeP3","dfeD1","dfeD2","dbtwD12","dfeDIED","PN1a","PN2","PN3","DIA1","DIA2","DIED","PN2a","Date_PN1a","Date_PN2a"
"46",47,432018,"BO","MAD",2,22.38,29.5,22:56:00,"6/19/2025","6/20/2025",14:02:00,6.5,13,17,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA
"47",42,432019,"B+N","MAD",2,22.02,47.7,15:35:00,"6/19/2025","6/20/2025",13:36:00,6.1,13,12,-1,2025-07-14,"RES6X100",2025-07-19,"EXCE-1.5CC",2025-09-30,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,24,5,73,29,102,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-07-14,2025-09-30
"48",48,432020,"B+N","MAD",2,22.43,48.2,15:40:00,"6/19/2025","6/20/2025",14:06:00,6.9,12,12,0,2025-10-11,"RES6X100",NA,NA,NA,NA,2025-06-20,"BISMUSOL ORAL",2025-06-21,"BISMUSOL ORAL",NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,113,NA,NA,NA,NA,0,1,1,NA,1,0,0,1,1,0,0,2025-10-11,NA
"49",64,432022,"LIDO","MAD",2,23.17,32.3,15:50:00,"6/19/2025","6/20/2025",15:00:00,6.5,13,13,0,2025-09-27,"RES6X100",2025-10-05,"EXCE-1.5CC",NA,NA,2025-06-20,"BISMUSOL ORAL",2025-06-21,"BISMUSOL ORAL",NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,99,8,NA,107,NA,0,1,1,NA,1,1,0,1,1,0,1,2025-09-27,2025-10-05
"50",38,432024,"BO","MAD",2,22.38,37.3,15:00:00,"6/19/2025","6/20/2025",13:23:00,7,15,17,2,2025-08-08,"RES6X100",2025-08-13,"EXCE-1.5CC",2025-10-06,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,49,5,54,54,108,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-08-08,2025-10-06
"51",62,432026,"B+N","MAD",2,21.65,52.7,17:15:00,"6/19/2025","6/20/2025",14:54:00,6.5,10,15,5,2025-09-30,"EXCE-1.5CC",2025-09-30,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,102,0,NA,102,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,2025-09-30,NA
"52",53,432027,"B+N","MAD",2,20.57,61.4,17:50:00,"6/19/2025","6/20/2025",14:24:00,7,11,16,5,2025-08-25,"RES6X100",2025-08-30,"EXCE-1.5CC",2025-09-30,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,66,5,31,71,102,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-08-25,2025-09-30
"53",60,432028,"B+N","MAD",2,20.95,36.4,17:50:00,"6/19/2025","6/20/2025",14:47:00,8.1,9,13,4,2025-09-13,"RES6X100",2025-09-19,"EXCE-1.5CC",2025-09-19,"RES6X100",2025-06-22,"BISMUSOL ORAL",2025-06-23,"BISMUSOL ORAL",NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,85,6,0,91,91,2,3,1,NA,1,1,1,1,1,0,0,2025-09-13,NA
"54",41,432029,"BO","MAD",2,18.98,37.7,18:35:00,"6/19/2025","6/20/2025",13:34:00,7.2,13,12,-1,2025-07-11,"RES6X100",2025-07-16,"EXCE-1.5CC",2025-09-23,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,21,5,69,26,95,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-07-11,2025-09-23
"55",33,432031,"BO","MAD",2,17.3,42.3,19:49:00,"6/19/2025","6/20/2025",13:07:00,7.1,14,12,-2,2025-09-22,"RES6X100",2025-10-11,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,94,19,NA,113,NA,NA,NA,NA,NA,1,1,0,0,0,0,1,2025-09-22,2025-10-11
"56",35,432032,"BO","MAD",2,17.05,35.5,20:10:00,"6/19/2025","6/20/2025",13:13:00,6.6,13,12,-1,2025-09-27,"RES6X100",2025-10-01,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,99,4,NA,103,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,2025-09-27,NA
"57",56,432035,"LIDO","MAD",2,17.48,40.9,21:06:00,"6/19/2025","6/20/2025",14:35:00,6.9,13,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA
"58",52,432038,"BO","MAD",2,15.37,41.8,23:00:00,"6/19/2025","6/20/2025",14:22:00,7,11,13,2,2025-08-21,"RES6X100",2025-08-26,"EXCE-1.5CC",2025-09-24,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,62,5,29,67,96,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-08-21,2025-09-24
"59",39,432040,"LIDO","MAD",2,14.95,32.3,22:30:00,"6/19/2025","6/20/2025",13:27:00,7.2,13,21,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA
"60",46,432044,"LIDO","MAD",2,15.1,41.8,15:29:00,"6/19/2025","6/20/2025",13:52:00,7.4,13,13,0,2025-07-14,"RES6X100",2025-07-19,"EXCE-1.5CC",2025-09-30,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,24,5,73,29,102,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-07-14,2025-09-30
"61",50,432045,"B+N","MAD",2,38.2,40.9,00:03:00,"6/19/2025","6/20/2025",14:15:00,6.2,12,11,-1,2025-08-24,"RES6X100",2025-08-29,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,65,5,NA,70,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,2025-08-24,NA
"62",63,432048,"LIDO","MAD",2,28.2,32.3,00:46:00,"6/20/2025","6/20/2025",14:58:00,7.5,11,15,4,2025-07-20,"RES6X100",2025-07-25,"EXCE-1.5CC",2025-10-09,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-20,2025-06-20,30,5,76,35,111,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-07-20,2025-10-09
"63",57,432050,"BO","MAD",2,38.02,34.5,00:40:00,"6/20/2025","6/20/2025",14:41:00,7,14,15,1,2025-08-21,"RES6X100",2025-08-26,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-20,2025-06-20,62,5,NA,67,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,2025-08-21,NA
"64",73,433954,"LIDO","MAD",3,34.22,46.8,02:45:00,"7/24/2025","7/25/2025",12:58:00,6.6,14,13,-1,2025-10-17,"RES6X100",2025-10-27,"RES6X100",2025-10-30,"EXCE-1.5CC",NA,NA,NA,NA,2025-10-17,"MIN OIL",2025-10-27,"MIN OIL",NA,NA,2025-07-24,2025-07-25,84,10,3,94,97,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-10-17,2025-10-27
"65",70,433958,"LIDO","MAD",3,32.57,43.2,04:15:00,"7/24/2025","7/25/2025",12:49:00,5.9,12,11,-1,2025-08-29,"RES6X100",2025-09-03,"EXCE-1.5CC",2025-11-03,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-24,2025-07-25,35,5,61,40,101,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-08-29,2025-11-03
"66",76,433959,"LIDO","MAD",3,32.82,49.1,04:17:00,"7/24/2025","7/25/2025",13:06:00,6.7,11,13,2,NA,NA,NA,NA,NA,NA,2025-07-27,"EXCENEL IM",2025-07-28,"EXCENEL IM",NA,NA,NA,NA,NA,NA,2025-07-24,2025-07-25,NA,NA,NA,NA,NA,2,3,1,NA,0,0,0,1,1,0,0,NA,NA
"67",71,433960,"BO","MAD",3,32.55,48.6,04:18:00,"7/24/2025","7/25/2025",12:51:00,6.5,10,10,0,2025-10-22,"EXCE-1.5CC",2025-10-25,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-24,2025-07-25,89,3,NA,92,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,2025-10-22,NA
"68",80,433965,"B+N","MAD",3,31.58,46.4,05:46:00,"7/24/2025","7/25/2025",13:21:00,6.9,11,12,1,2025-08-12,"RES6X100",2025-08-18,"EXCE-1.5CC",2025-10-23,"RES6X100",NA,NA,NA,NA,2025-10-23,"MIN OIL",NA,NA,NA,NA,2025-07-24,2025-07-25,18,6,66,24,90,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-08-12,2025-10-23
"69",74,433967,"B+N","MAD",3,30.85,38.2,06:10:00,"7/24/2025","7/25/2025",13:01:00,7.2,14,13,-1,2025-08-28,"RES6X100",2025-09-02,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-24,2025-07-25,34,5,NA,39,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,2025-08-28,NA
"70",92,433969,"BO","MAD",3,31.68,50,06:20:00,"7/24/2025","7/25/2025",14:01:00,6.6,12,13,1,2025-09-05,"RES6X100",2025-09-10,"EXCE-1.5CC",2025-09-15,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-24,2025-07-25,42,5,5,47,52,NA,NA,NA,NA,1,1,1,0,0,0,0,2025-09-05,NA
"71",78,433970,"BO","MAD",3,31,50.5,06:15:00,"7/24/2025","7/25/2025",13:15:00,6.4,11,16,5,2025-08-24,"RES6X100",2025-08-29,"EXCE-1.5CC",2025-10-03,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-24,2025-07-25,30,5,35,35,70,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-08-24,2025-10-03
"72",93,433971,"B+N","MAD",3,29.93,42.7,08:10:00,"7/24/2025","7/25/2025",14:06:00,7.6,14,11,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-24,2025-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA
"73",83,433975,"B+N","MAD",3,26.12,35,11:25:00,"7/24/2025","7/25/2025",13:32:00,7.5,14,13,-1,2025-10-05,"RES6X100",2025-10-11,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-24,2025-07-25,72,6,NA,78,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,2025-10-05,NA
"74",77,433978,"B+N","MAD",3,24.47,41.8,12:42:00,"7/24/2025","7/25/2025",13:10:00,7.2,12,11,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-24,2025-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA
"75",79,433979,"BO","MAD",3,24.07,50,13:15:00,"7/24/2025","7/25/2025",13:19:00,6.7,10,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-24,2025-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA
"76",85,433980,"B+N","MAD",3,23.12,39.1,14:32:00,"7/24/2025","7/25/2025",13:39:00,6.7,12,12,0,NA,NA,NA,NA,NA,NA,2025-08-01,"ENRO+ELECT",2025-08-02,"ELEC+ADD",NA,NA,NA,NA,NA,NA,2025-07-24,2025-07-25,NA,NA,NA,NA,NA,7,8,1,NA,0,0,0,1,1,0,0,NA,NA
"77",91,433981,"LIDO","MAD",3,23.32,45.9,14:39:00,"7/24/2025","7/25/2025",13:58:00,7.6,15,14,-1,2025-10-07,"RES6X100",2025-10-12,"EXCE-1.5CC",2025-10-27,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-24,2025-07-25,74,5,15,79,94,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-10-07,2025-10-27
"78",86,433982,"LIDO","MAD",3,21.98,45.9,15:43:00,"7/24/2025","7/25/2025",13:42:00,6.7,12,10,-2,2025-09-13,"RES6X100",2025-09-18,"EXCE-1.5CC",2025-10-25,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-24,2025-07-25,50,5,37,55,92,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-09-13,2025-10-25
"79",90,433984,"BO","MAD",3,21.18,44.1,16:43:00,"7/24/2025","7/25/2025",13:54:00,6.7,11,15,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-24,2025-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA
"80",94,433988,"LIDO","MAD",3,20.75,40.5,17:25:00,"7/24/2025","7/25/2025",14:10:00,7,10,13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-24,2025-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA
"81",84,433994,"LIDO","MAD",3,17.58,44.1,20:00:00,"7/24/2025","7/25/2025",13:35:00,6.6,10,11,1,2025-09-25,"RES6X100",2025-09-30,"EXCE-1.5CC",2025-10-28,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-24,2025-07-25,62,5,28,67,95,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-09-25,2025-10-28
"82",88,433995,"LIDO","MAD",3,17.37,43.6,20:25:00,"7/24/2025","7/25/2025",13:47:00,6.8,12,13,1,NA,NA,NA,NA,NA,NA,2025-07-26,"BISMUSOL ORAL",2025-07-27,"BISMUSOL ORAL",NA,NA,NA,NA,NA,NA,2025-07-24,2025-07-25,NA,NA,NA,NA,NA,1,2,1,NA,0,0,0,1,1,0,0,NA,NA
"83",75,433996,"BO","MAD",3,16.52,50.5,20:32:00,"7/24/2025","7/25/2025",13:03:00,7.2,14,19,5,2025-10-04,"RES6X100",2025-10-09,"EXCE-1.5CC",2025-10-29,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-24,2025-07-25,71,5,20,76,96,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-10-04,2025-10-29
"84",89,434000,"B+N","MAD",3,16.32,34.5,21:32:00,"7/24/2025","7/25/2025",13:51:00,6.7,11,11,0,2025-09-16,"RES6X100",2025-09-21,"EXCE-1.5CC",2025-11-01,"RES6X100",2025-08-02,"ENRO+ELECT",NA,NA,NA,NA,NA,NA,NA,NA,2025-07-24,2025-07-25,53,5,41,58,99,8,NA,NA,NA,1,1,1,1,0,0,1,2025-09-16,2025-11-01
"85",82,434002,"BO","MAD",3,15.5,36.8,22:00:00,"7/24/2025","7/25/2025",13:30:00,7,12,16,4,2025-08-26,"RES6X100",2025-09-01,"EXCE-1.5CC",2025-11-09,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-24,2025-07-25,32,6,69,38,107,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-08-26,2025-11-09
"86",69,449432,"LIDO","CAD",3,34.17,42.7,02:35:00,"7/24/2025","7/25/2025",12:45:00,7.3,12,12,0,2025-08-03,"RES6X100",NA,NA,NA,NA,2025-08-04,"FLUIDOS",NA,NA,NA,NA,NA,NA,2025-08-05,"INFECTION",2025-07-24,2025-07-25,9,NA,NA,NA,NA,10,NA,NA,11,1,0,0,1,0,1,0,2025-08-03,NA
"87",67,449435,"B+N","CAD",3,29.45,43.2,07:10:00,"7/24/2025","7/25/2025",12:37:00,5.9,11,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-24,2025-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA
"88",72,449438,"B+N","CAD",3,28.73,45,08:11:00,"7/24/2025","7/25/2025",12:55:00,6.5,14,36,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-24,2025-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA
"89",68,449439,"BO","CAD",3,28.02,44.1,08:40:00,"7/24/2025","7/25/2025",12:41:00,6.8,12,10,-2,2025-10-13,"RES6X100",2025-10-18,"EXCE-1.5CC",2025-10-30,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-24,2025-07-25,80,5,12,85,97,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-10-13,2025-10-30
"90",81,449441,"LIDO","CAD",3,26.42,43.2,11:00:00,"7/24/2025","7/25/2025",13:25:00,6.6,12,12,0,NA,NA,NA,NA,NA,NA,2025-08-02,"ENRO+ELECT",NA,NA,NA,NA,NA,NA,NA,NA,2025-07-24,2025-07-25,NA,NA,NA,NA,NA,8,NA,NA,NA,0,0,0,1,0,0,0,NA,NA
"91",87,449444,"BO","CAD",3,24.95,39.5,12:48:00,"7/24/2025","7/25/2025",13:45:00,6.9,11,11,0,2025-10-15,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-24,2025-07-25,82,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,2025-10-15,NA
"92",65,449449,"BO","CAD",3,30.9,49.5,05:35:00,"7/24/2025","7/25/2025",12:29:00,7.2,12,14,2,2025-08-28,"RES6X100",2025-09-02,"EXCE-1.5CC",2025-11-01,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-24,2025-07-25,34,5,60,39,99,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-08-28,2025-11-01
"93",66,449450,"B+N","CAD",3,15.5,33.2,21:05:00,"7/24/2025","7/25/2025",12:35:00,5.7,11,10,-1,2025-10-30,"RES6X100",2025-11-04,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-24,2025-07-25,97,5,NA,102,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,2025-10-30,NA
