Study ID,Calf ID,TRT,Day ,SC1,SC2,SCAV,BLSCAV,,,,,
1,431637,LIDO,0,10.2,10.3,10.25,10.25,,,,,
1,431637,LIDO,1,11.8,11.8,11.8,10.25,,,,,
1,431637,LIDO,2,12.6,12.6,12.6,10.25,,,,,
1,431637,LIDO,3,14.9,14.9,14.9,10.25,,,,,
2,431580,BO,0,10.8,10.8,10.8,10.8,,,,,
2,431580,BO,1,11,11.1,11.05,10.8,,,,,
2,431580,BO,2,11.5,11.6,11.55,10.8,,,,,
2,431580,BO,3,15.5,15.6,15.55,10.8,,,,,
3,431603,B+N,0,11,11,11,11,,,,,
3,431603,B+N,1,12,12.1,12.05,11,,,,,
3,431603,B+N,2,12.4,12.4,12.4,11,,,,,
3,431603,B+N,3,12.7,12.7,12.7,11,,,,,
4,431616,LIDO,0,8.7,8.8,8.75,8.75,,,,,
4,431616,LIDO,1,11,11.1,11.05,8.75,,,,,
4,431616,LIDO,2,12.1,12.2,12.15,8.75,,,,,
4,431616,LIDO,3,13.3,13.3,13.3,8.75,,,,,
5,431611,B+N,0,9.3,9.4,9.35,9.35,,,,,
5,431611,B+N,1,11.5,11.6,11.55,9.35,,,,,
5,431611,B+N,2,11.2,11.3,11.25,9.35,,,,,
5,431611,B+N,3,12.3,12.4,12.35,9.35,,,,,
6,431633,BO,0,10.2,10.3,10.25,10.25,,,,,
6,431633,BO,1,12.4,12.5,12.45,10.25,,,,,
6,431633,BO,2,12.8,12.9,12.85,10.25,,,,,
6,431633,BO,3,12.9,12.9,12.9,10.25,,,,,
7,431618,BO,0,7.5,7.6,7.55,7.55,,,,,
7,431618,BO,1,10.8,10.8,10.8,7.55,,,,,
7,431618,BO,2,11.5,11.6,11.55,7.55,,,,,
7,431618,BO,3,12.3,12.4,12.35,7.55,,,,,
8,431639,B+N,0,9.1,9.2,9.15,9.15,,,,,
8,431639,B+N,1,11.8,11.9,11.85,9.15,,,,,
8,431639,B+N,2,12.3,12.4,12.35,9.15,,,,,
8,431639,B+N,3,13.6,13.7,13.65,9.15,,,,,
9,431613,LIDO,0,11.4,11.4,11.4,11.4,,,,,
9,431613,LIDO,1,12.5,12.6,12.55,11.4,,,,,
9,431613,LIDO,2,12.8,12.9,12.85,11.4,,,,,
9,431613,LIDO,3,12.5,12.5,12.5,11.4,,,,,
10,431642,BO,0,11.1,11.2,11.15,11.15,,,,,
10,431642,BO,1,12.2,12.4,12.3,11.15,,,,,
10,431642,BO,2,12.6,12.7,12.65,11.15,,,,,
10,431642,BO,3,13,13,13,11.15,,,,,
11,431600,B+N,0,9,9,9,9,,,,,
11,431600,B+N,1,11.9,11.9,11.9,9,,,,,
11,431600,B+N,2,12.3,12.4,12.35,9,,,,,
11,431600,B+N,3,12.5,12.6,12.55,9,,,,,
12,431605,LIDO,0,10.7,10.9,10.8,10.8,,,,,
12,431605,LIDO,1,11.9,11.9,11.9,10.8,,,,,
12,431605,LIDO,2,12.4,12.4,12.4,10.8,,,,,
12,431605,LIDO,3,12.1,12.1,12.1,10.8,,,,,
13,431635,B+N,0,8.4,8.5,8.45,8.45,,,,,
13,431635,B+N,1,11.8,11.9,11.85,8.45,,,,,
13,431635,B+N,2,12.1,12.2,12.15,8.45,,,,,
13,431635,B+N,3,12.1,12.1,12.1,8.45,,,,,
14,431599,BO,0,9.4,9.4,9.4,9.4,,,,,
14,431599,BO,1,11.8,11.8,11.8,9.4,,,,,
14,431599,BO,2,11.1,11.2,11.15,9.4,,,,,
14,431599,BO,3,11.4,11.5,11.45,9.4,,,,,
15,431594,LIDO,0,10.9,11,10.95,10.95,,,,,
15,431594,LIDO,1,12.8,12.8,12.8,10.95,,,,,
15,431594,LIDO,2,13,13.1,13.05,10.95,,,,,
15,431594,LIDO,3,13.5,13.6,13.55,10.95,,,,,
16,431620,LIDO,0,9.2,9.3,9.25,9.25,,,,,
16,431620,LIDO,1,11.8,11.8,11.8,9.25,,,,,
16,431620,LIDO,2,11.2,11.3,11.25,9.25,,,,,
16,431620,LIDO,3,11.9,11.9,11.9,9.25,,,,,
17,431592,BO,0,8.1,8.2,8.15,8.15,,,,,
17,431592,BO,1,11.9,11.9,11.9,8.15,,,,,
17,431592,BO,2,11.6,11.6,11.6,8.15,,,,,
17,431592,BO,3,12.3,12.3,12.3,8.15,,,,,
18,431631,B+N,0,9.4,9.5,9.45,9.45,,,,,
18,431631,B+N,1,11.6,11.7,11.65,9.45,,,,,
18,431631,B+N,2,12,12.1,12.05,9.45,,,,,
18,431631,B+N,3,11.6,11.6,11.6,9.45,,,,,
19,431610,LIDO,0,9.6,9.7,9.65,9.65,,,,,
19,431610,LIDO,1,12,12.1,12.05,9.65,,,,,
19,431610,LIDO,2,12.2,12.3,12.25,9.65,,,,,
19,431610,LIDO,3,12.2,12.2,12.2,9.65,,,,,
20,431608,BO,0,10.2,10.4,10.3,10.3,,,,,
20,431608,BO,1,12.9,12.9,12.9,10.3,,,,,
20,431608,BO,2,12.9,13,12.95,10.3,,,,,
20,431608,BO,3,13.9,14,13.95,10.3,,,,,
21,431598,B+N,0,9.6,9.7,9.65,9.65,,,,,
21,431598,B+N,1,12.4,12.5,12.45,9.65,,,,,
21,431598,B+N,2,12.4,12.4,12.4,9.65,,,,,
21,431598,B+N,3,12.9,13,12.95,9.65,,,,,
22,431621,LIDO,0,9.5,9.6,9.55,9.55,,,,,
22,431621,LIDO,1,11.6,11.7,11.65,9.55,,,,,
22,431621,LIDO,2,12.4,12.5,12.45,9.55,,,,,
22,431621,LIDO,3,12.4,12.4,12.4,9.55,,,,,
23,431581,B+N,0,8.8,9,8.9,8.9,,,,,
23,431581,B+N,1,11.6,11.7,11.65,8.9,,,,,
23,431581,B+N,2,12.2,12.3,12.25,8.9,,,,,
23,431581,B+N,3,12.5,12.6,12.55,8.9,,,,,
24,431622,BO,0,8.5,8.6,8.55,8.55,,,,,
24,431622,BO,1,11.3,11.4,11.35,8.55,,,,,
24,431622,BO,2,11.5,11.6,11.55,8.55,,,,,
24,431622,BO,3,12.5,12.5,12.5,8.55,,,,,
25,431636,B+N,0,9.3,9.3,9.3,9.3,,,,,
25,431636,B+N,1,11.4,11.4,11.4,9.3,,,,,
25,431636,B+N,2,12,12,12,9.3,,,,,
25,431636,B+N,3,12.7,12.7,12.7,9.3,,,,,
26,431602,BO,0,9.2,9.2,9.2,9.2,,,,,
26,431602,BO,1,12.3,12.4,12.35,9.2,,,,,
26,431602,BO,2,13.2,13.2,13.2,9.2,,,,,
26,431602,BO,3,13.6,13.7,13.65,9.2,,,,,
27,431612,LIDO,0,10.1,10.2,10.15,10.15,,,,,
27,431612,LIDO,1,12.4,12.4,12.4,10.15,,,,,
27,431612,LIDO,2,12.4,12.4,12.4,10.15,,,,,
27,431612,LIDO,3,12.4,12.4,12.4,10.15,,,,,
28,409820,BO,0,9.1,9.3,9.2,9.2,,,,,
28,409820,BO,1,12.4,12.4,12.4,9.2,,,,,
28,409820,BO,2,12.9,12.9,12.9,9.2,,,,,
28,409820,BO,3,12.7,12.8,12.75,9.2,,,,,
29,409818,B+N,0,9.1,9.2,9.15,9.15,,,,,
29,409818,B+N,1,10.8,10.9,10.85,9.15,,,,,
29,409818,B+N,2,10.9,11,10.95,9.15,,,,,
29,409818,B+N,3,12.1,12.2,12.15,9.15,,,,,
30,409821,LIDO,0,10.3,10.4,10.35,10.35,,,,,
30,409821,LIDO,1,12.9,13,12.95,10.35,,,,,
30,409821,LIDO,2,12.9,12.9,12.9,10.35,,,,,
30,409821,LIDO,3,12.9,12.9,12.9,10.35,,,,,
31,432001,B+N,0,12,12.1,12.05,12.05,,,,,
31,432001,B+N,1,12.8,12.9,12.85,12.05,,,,,
31,432001,B+N,2,11.8,11.8,11.8,12.05,,,,,
31,432001,B+N,3,11.2,11.2,11.2,12.05,,,,,
32,432051,LIDO,0,11.8,11.9,11.85,11.85,,,,,
32,432051,LIDO,1,11.7,11.7,11.7,11.85,,,,,
33,432031,BO,0,12.5,12.6,12.55,12.55,,,,,
33,432031,BO,1,13.6,13.6,13.6,12.55,,,,,
33,432031,BO,2,13.6,13.7,13.65,12.55,,,,,
33,432031,BO,3,13,13,13,12.55,,,,,
34,431997,LIDO,0,11.9,11.9,11.9,11.9,,,,,
34,431997,LIDO,1,13,13,13,11.9,,,,,
34,431997,LIDO,2,13.7,13.7,13.7,11.9,,,,,
34,431997,LIDO,3,13,13,13,11.9,,,,,
35,432032,BO,0,9.9,9.9,9.9,9.9,,,,,
35,432032,BO,1,10.1,10.2,10.15,9.9,,,,,
35,432032,BO,2,10.1,10.2,10.15,9.9,,,,,
35,432032,BO,3,10.2,10.2,10.2,9.9,,,,,
36,432009,B+N,0,11,11,11,11,,,,,
36,432009,B+N,1,11.6,11.6,11.6,11,,,,,
36,432009,B+N,2,12,12,12,11,,,,,
36,432009,B+N,3,11.4,11.4,11.4,11,,,,,
37,432006,B+N,0,10.4,10.5,10.45,10.45,,,,,
37,432006,B+N,1,11.6,11.7,11.65,10.45,,,,,
37,432006,B+N,2,12.1,12.1,12.1,10.45,,,,,
37,432006,B+N,3,10.5,10.6,10.55,10.45,,,,,
38,432024,BO,0,12.1,12.2,12.15,12.15,,,,,
38,432024,BO,1,12.2,12.3,12.25,12.15,,,,,
38,432024,BO,2,12.3,12.3,12.3,12.15,,,,,
38,432024,BO,3,11.1,11.2,11.15,12.15,,,,,
39,432040,LIDO,0,12.3,12.4,12.35,12.35,,,,,
39,432040,LIDO,1,13.3,13.4,13.35,12.35,,,,,
39,432040,LIDO,2,13.1,13.1,13.1,12.35,,,,,
39,432040,LIDO,3,12.6,12.7,12.65,12.35,,,,,
40,431998,LIDO,0,13,13,13,13,,,,,
40,431998,LIDO,1,12.5,12.6,12.55,13,,,,,
40,431998,LIDO,2,13.1,13.2,13.15,13,,,,,
40,431998,LIDO,3,13.1,13.1,13.1,13,,,,,
41,432029,BO,0,11.3,11.4,11.35,11.35,,,,,
41,432029,BO,1,12.9,12.9,12.9,11.35,,,,,
41,432029,BO,2,12.1,12.1,12.1,11.35,,,,,
41,432029,BO,3,11.9,12,11.95,11.35,,,,,
42,432019,B+N,0,10.3,10.4,10.35,10.35,,,,,
42,432019,B+N,1,11.7,11.7,11.7,10.35,,,,,
42,432019,B+N,2,12,12,12,10.35,,,,,
42,432019,B+N,3,11.6,11.6,11.6,10.35,,,,,
43,409933,B+N,0,10.4,10.4,10.4,10.4,,,,,
43,409933,B+N,1,13.9,13.9,13.9,10.4,,,,,
43,409933,B+N,2,12.9,13,12.95,10.4,,,,,
43,409933,B+N,3,11.5,11.5,11.5,10.4,,,,,
44,432008,BO,0,12.6,12.7,12.65,12.65,,,,,
44,432008,BO,1,13,13.1,13.05,12.65,,,,,
44,432008,BO,2,12.7,12.7,12.7,12.65,,,,,
44,432008,BO,3,11.6,11.6,11.6,12.65,,,,,
45,432007,LIDO,0,9.9,10,9.95,9.95,,,,,
45,432007,LIDO,1,12,12,12,9.95,,,,,
45,432007,LIDO,2,11.8,11.8,11.8,9.95,,,,,
45,432007,LIDO,3,11,11,11,9.95,,,,,
46,432044,LIDO,0,11.3,11.4,11.35,11.35,,,,,
46,432044,LIDO,1,11.4,11.4,11.4,11.35,,,,,
46,432044,LIDO,2,11.5,11.5,11.5,11.35,,,,,
46,432044,LIDO,3,11.5,11.6,11.55,11.35,,,,,
47,432018,BO,0,10.8,10.8,10.8,10.8,,,,,
47,432018,BO,1,12,12.1,12.05,10.8,,,,,
47,432018,BO,2,12,12,12,10.8,,,,,
47,432018,BO,3,12,12,12,10.8,,,,,
48,432020,B+N,0,12.2,12.3,12.25,12.25,,,,,
48,432020,B+N,1,12,12,12,12.25,,,,,
48,432020,B+N,2,12.3,12.3,12.3,12.25,,,,,
48,432020,B+N,3,12.6,12.6,12.6,12.25,,,,,
49,409925,LIDO,0,11.8,11.9,11.85,11.85,,,,,
49,409925,LIDO,1,12.7,12.7,12.7,11.85,,,,,
49,409925,LIDO,2,12.5,12.6,12.55,11.85,,,,,
49,409925,LIDO,3,11.6,11.6,11.6,11.85,,,,,
50,432045,B+N,0,11.6,11.6,11.6,11.6,,,,,
50,432045,B+N,1,12.4,12.5,12.45,11.6,,,,,
50,432045,B+N,2,12,12,12,11.6,,,,,
50,432045,B+N,3,11.4,11.4,11.4,11.6,,,,,
51,409937,BO,0,11.9,12,11.95,11.95,,,,,
51,409937,BO,1,12.8,12.9,12.85,11.95,,,,,
51,409937,BO,2,12.6,12.6,12.6,11.95,,,,,
51,409937,BO,3,11.7,11.7,11.7,11.95,,,,,
52,432038,BO,0,12.1,12.2,12.15,12.15,,,,,
52,432038,BO,1,12.7,12.7,12.7,12.15,,,,,
52,432038,BO,2,12.2,12.3,12.25,12.15,,,,,
52,432038,BO,3,11.6,11.6,11.6,12.15,,,,,
53,432027,B+N,0,12.3,12.4,12.35,12.35,,,,,
53,432027,B+N,1,11.6,11.6,11.6,12.35,,,,,
53,432027,B+N,2,11.5,11.5,11.5,12.35,,,,,
53,432027,B+N,3,11,11,11,12.35,,,,,
54,409927,LIDO,0,12.4,12.5,12.45,12.45,,,,,
54,409927,LIDO,1,13.1,13.2,13.15,12.45,,,,,
54,409927,LIDO,2,12.6,12.6,12.6,12.45,,,,,
54,409927,LIDO,3,11.9,11.9,11.9,12.45,,,,,
55,409922,B+N,0,11,11.1,11.05,11.05,,,,,
55,409922,B+N,1,11,11.1,11.05,11.05,,,,,
55,409922,B+N,2,11,11,11,11.05,,,,,
55,409922,B+N,3,10.6,10.6,10.6,11.05,,,,,
56,432035,LIDO,0,12.6,12.7,12.65,12.65,,,,,
56,432035,LIDO,1,12,12,12,12.65,,,,,
56,432035,LIDO,2,12.3,12.3,12.3,12.65,,,,,
56,432035,LIDO,3,11.1,11.1,11.1,12.65,,,,,
57,432050,BO,0,11.4,11.5,11.45,11.45,,,,,
57,432050,BO,1,11.6,11.6,11.6,11.45,,,,,
57,432050,BO,2,11.6,11.6,11.6,11.45,,,,,
57,432050,BO,3,11,11,11,11.45,,,,,
58,409928,LIDO,0,13.8,13.8,13.8,13.8,,,,,
58,409928,LIDO,1,13.6,13.6,13.6,13.8,,,,,
58,409928,LIDO,2,13.4,13.5,13.45,13.8,,,,,
58,409928,LIDO,3,12.6,12.6,12.6,13.8,,,,,
59,409935,BO,0,12.2,12.2,12.2,12.2,,,,,
59,409935,BO,1,12.6,12.7,12.65,12.2,,,,,
59,409935,BO,2,12,12,12,12.2,,,,,
59,409935,BO,3,11.4,11.4,11.4,12.2,,,,,
60,432028,B+N,0,10.7,10.7,10.7,10.7,,,,,
60,432028,B+N,1,11.9,12,11.95,10.7,,,,,
60,432028,B+N,2,11.3,11.4,11.35,10.7,,,,,
60,432028,B+N,3,10.8,10.8,10.8,10.7,,,,,
61,409926,BO,0,12.9,13,12.95,12.95,,,,,
61,409926,BO,1,13,13,13,12.95,,,,,
61,409926,BO,2,12.7,12.8,12.75,12.95,,,,,
61,409926,BO,3,12.3,12.4,12.35,12.95,,,,,
62,432026,B+N,0,12.7,12.7,12.7,12.7,,,,,
62,432026,B+N,1,13.5,13.5,13.5,12.7,,,,,
62,432026,B+N,2,13,13,13,12.7,,,,,
62,432026,B+N,3,12.8,12.9,12.85,12.7,,,,,
63,432048,LIDO,0,12.6,12.6,12.6,12.6,,,,,
63,432048,LIDO,1,13.1,13.1,13.1,12.6,,,,,
63,432048,LIDO,2,11.5,11.7,11.6,12.6,,,,,
63,432048,LIDO,3,12,12,12,12.6,,,,,
64,432022,LIDO,0,10.9,11,10.95,10.95,,,,,
64,432022,LIDO,1,13,13,13,10.95,,,,,
64,432022,LIDO,2,11.4,11.6,11.5,10.95,,,,,
64,432022,LIDO,3,11.8,11.8,11.8,10.95,,,,,
65,449449,BO,0,12.5,12.5,12.5,12.5,,,,,
65,449449,BO,1,12.4,12.5,12.45,12.5,,,,,
65,449449,BO,2,12.6,12.6,12.6,12.5,,,,,
65,449449,BO,3,12.5,12.5,12.5,12.5,,,,,
66,449450,B+N,0,13.4,13.5,13.45,13.45,,,,,
66,449450,B+N,1,12.7,12.7,12.7,13.45,,,,,
66,449450,B+N,2,12.6,12.6,12.6,13.45,,,,,
66,449450,B+N,3,12.6,12.6,12.6,13.45,,,,,
67,449435,B+N,0,10.9,11,10.95,10.95,,,,,
67,449435,B+N,1,10.9,11,10.95,10.95,,,,,
67,449435,B+N,2,11.6,11.6,11.6,10.95,,,,,
67,449435,B+N,3,11,11,11,10.95,,,,,
68,449439,BO,0,11.3,11.4,11.35,11.35,,,,,
68,449439,BO,1,11.1,11.2,11.15,11.35,,,,,
68,449439,BO,2,10.9,11,10.95,11.35,,,,,
68,449439,BO,3,10.9,11,10.95,11.35,,,,,
69,449432,LIDO,0,12.9,13,12.95,12.95,,,,,
69,449432,LIDO,1,12.6,12.7,12.65,12.95,,,,,
69,449432,LIDO,2,12.8,12.8,12.8,12.95,,,,,
69,449432,LIDO,3,12.9,12.9,12.9,12.95,,,,,
70,433958,LIDO,0,12.4,12.5,12.45,12.45,,,,,
70,433958,LIDO,1,11.1,11.2,11.15,12.45,,,,,
70,433958,LIDO,2,11.7,11.7,11.7,12.45,,,,,
70,433958,LIDO,3,11,11,11,12.45,,,,,
71,443960,BO,0,13.6,13.6,13.6,13.6,,,,,
71,443960,BO,1,12.3,12.4,12.35,13.6,,,,,
71,443960,BO,2,12.4,12.4,12.4,13.6,,,,,
71,443960,BO,3,12.1,12.1,12.1,13.6,,,,,
72,449438,B+N,0,13.7,13.7,13.7,13.7,,,,,
72,449438,B+N,1,13.1,13.2,13.15,13.7,,,,,
72,449438,B+N,2,13.1,13.2,13.15,13.7,,,,,
72,449438,B+N,3,13,13,13,13.7,,,,,
73,433954,LIDO,0,12.9,13,12.95,12.95,,,,,
73,433954,LIDO,1,12.1,12.1,12.1,12.95,,,,,
73,433954,LIDO,2,12,12,12,12.95,,,,,
73,433954,LIDO,3,12,12,12,12.95,,,,,
74,433967,B+N,0,12.5,12.6,12.55,12.55,,,,,
74,433967,B+N,1,11.4,11.4,11.4,12.55,,,,,
74,433967,B+N,2,11.5,11.5,11.5,12.55,,,,,
74,433967,B+N,3,11.1,11.1,11.1,12.55,,,,,
75,433996,BO,0,13.2,13.3,13.25,13.25,,,,,
75,433996,BO,1,12,12,12,13.25,,,,,
75,433996,BO,2,12.5,12.5,12.5,13.25,,,,,
75,433996,BO,3,11.8,11.8,11.8,13.25,,,,,
76,433959,LIDO,0,13.9,14,13.95,13.95,,,,,
76,433959,LIDO,1,12.6,12.6,12.6,13.95,,,,,
76,433959,LIDO,2,12.6,12.6,12.6,13.95,,,,,
76,433959,LIDO,3,12.8,12.9,12.85,13.95,,,,,
77,433978,B+N,0,12.1,12.2,12.15,12.15,,,,,
77,433978,B+N,1,11.5,11.5,11.5,12.15,,,,,
77,433978,B+N,2,12,12,12,12.15,,,,,
77,433978,B+N,3,11.4,11.4,11.4,12.15,,,,,
78,433970,BO,0,11.5,11.5,11.5,11.5,,,,,
78,433970,BO,1,12.4,12.4,12.4,11.5,,,,,
78,433970,BO,2,12.2,12.2,12.2,11.5,,,,,
78,433970,BO,3,12,12,12,11.5,,,,,
79,433979,BO,0,13.7,13.8,13.75,13.75,,,,,
79,433979,BO,1,12.7,12.7,12.7,13.75,,,,,
79,433979,BO,2,13,13,13,13.75,,,,,
79,433979,BO,3,13,13,13,13.75,,,,,
80,433965,B+N,0,13.5,13.6,13.55,13.55,,,,,
80,433965,B+N,1,13.2,13.3,13.25,13.55,,,,,
80,433965,B+N,2,13.1,13.1,13.1,13.55,,,,,
80,433965,B+N,3,12.5,12.6,12.55,13.55,,,,,
81,449441,LIDO,0,12.9,13,12.95,12.95,,,,,
81,449441,LIDO,1,12.5,12.5,12.5,12.95,,,,,
81,449441,LIDO,2,12.5,12.5,12.5,12.95,,,,,
81,449441,LIDO,3,12,12,12,12.95,,,,,
82,434002,BO,0,12.8,12.9,12.85,12.85,,,,,
82,434002,BO,1,12.1,12.1,12.1,12.85,,,,,
82,434002,BO,2,11.8,11.9,11.85,12.85,,,,,
82,434002,BO,3,12.3,12.3,12.3,12.85,,,,,
83,433975,B+N,0,13.3,13.4,13.35,13.35,,,,,
83,433975,B+N,1,13.3,13.4,13.35,13.35,,,,,
83,433975,B+N,2,14,14,14,13.35,,,,,
83,433975,B+N,3,12.6,12.6,12.6,13.35,,,,,
84,433994,LIDO,0,12.9,12.9,12.9,12.9,,,,,
84,433994,LIDO,1,13,13,13,12.9,,,,,
84,433994,LIDO,2,11.9,12,11.95,12.9,,,,,
84,433994,LIDO,3,12,12.1,12.05,12.9,,,,,
85,433980,B+N,0,11.4,11.4,11.4,11.4,,,,,
85,433980,B+N,1,12.5,12.5,12.5,11.4,,,,,
85,433980,B+N,2,11.4,11.5,11.45,11.4,,,,,
85,433980,B+N,3,11.5,11.5,11.5,11.4,,,,,
86,433982,LIDO,0,13.1,13.2,13.15,13.15,,,,,
86,433982,LIDO,1,12.2,12.3,12.25,13.15,,,,,
86,433982,LIDO,2,12.9,12.9,12.9,13.15,,,,,
86,433982,LIDO,3,12.2,12.2,12.2,13.15,,,,,
87,449444,BO,0,12.1,12.2,12.15,12.15,,,,,
87,449444,BO,1,11.9,12,11.95,12.15,,,,,
87,449444,BO,2,11.7,11.7,11.7,12.15,,,,,
87,449444,BO,3,11.4,11.4,11.4,12.15,,,,,
88,433995,LIDO,0,13,13.1,13.05,13.05,,,,,
88,433995,LIDO,1,12.7,12.8,12.75,13.05,,,,,
88,433995,LIDO,2,12,12.1,12.05,13.05,,,,,
88,433995,LIDO,3,11.2,11.2,11.2,13.05,,,,,
89,434000,B+N,0,12.4,12.5,12.45,12.45,,,,,
89,434000,B+N,1,12.9,13,12.95,12.45,,,,,
89,434000,B+N,2,12,12.1,12.05,12.45,,,,,
89,434000,B+N,3,12,12.1,12.05,12.45,,,,,
90,433984,BO,0,12.7,12.7,12.7,12.7,,,,,
90,433984,BO,1,12.4,12.4,12.4,12.7,,,,,
90,433984,BO,2,13.5,13.5,13.5,12.7,,,,,
90,433984,BO,3,12.2,12.3,12.25,12.7,,,,,
91,433981,LIDO,0,12.6,12.7,12.65,12.65,,,,,
91,433981,LIDO,1,12.9,13,12.95,12.65,,,,,
91,433981,LIDO,2,12.9,13,12.95,12.65,,,,,
91,433981,LIDO,3,12.8,12.9,12.85,12.65,,,,,
92,433969,BO,0,12.3,12.4,12.35,12.35,,,,,
92,433969,BO,1,12.3,12.4,12.35,12.35,,,,,
92,433969,BO,2,12.3,12.4,12.35,12.35,,,,,
92,433969,BO,3,12,12,12,12.35,,,,,
93,433971,B+N,0,11.9,12,11.95,11.95,,,,,
93,433971,B+N,1,12,12.1,12.05,11.95,,,,,
93,433971,B+N,2,12.1,12.1,12.1,11.95,,,,,
93,433971,B+N,3,12.1,12.2,12.15,11.95,,,,,
94,433988,LIDO,0,13.1,13.2,13.15,13.15,,,,,
94,433988,LIDO,1,12.7,12.7,12.7,13.15,,,,,
94,433988,LIDO,2,12.2,12.3,12.25,13.15,,,,,
94,433988,LIDO,3,12.5,12.5,12.5,13.15,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
